t re(Psi4_2_0) im(Psi4_2_0)  
5.679999999999999716e+01 6.223309125940937702e-12 4.221361994134094514e-17
5.696000000000000085e+01 6.235203426861543600e-12 4.441138460957371950e-17
5.711999999999999744e+01 6.253523307360149775e-12 4.620696323649617790e-17
5.728000000000000114e+01 6.278183651904887797e-12 4.799135582803732848e-17
5.743999999999999773e+01 6.309184460495483016e-12 4.976456238852271746e-17
5.760000000000000142e+01 6.346525733131854653e-12 5.152658292034514484e-17
5.775999999999999801e+01 6.376521806068555033e-12 5.301663720051522941e-17
5.792000000000000171e+01 6.407384077552858738e-12 5.439119336302584397e-17
5.807999999999999829e+01 6.439112547584937828e-12 5.565025140134680412e-17
5.824000000000000199e+01 6.471707216164513615e-12 5.679381131786504888e-17
5.839999999999999858e+01 6.487389181684844182e-12 5.663395906624656898e-17
5.856000000000000227e+01 6.496825785110169679e-12 5.588344307955417110e-17
5.871999999999999886e+01 6.500017026440063592e-12 5.454226334277646084e-17
5.888000000000000256e+01 6.496962905674964553e-12 5.261041987188185031e-17
5.903999999999999915e+01 6.481114464938220463e-12 5.027593498816169284e-17
5.920000000000000284e+01 6.456401078955980424e-12 4.742599530451474418e-17
5.935999999999999943e+01 6.422822747727604664e-12 4.406060080882743499e-17
5.952000000000000313e+01 6.380379471253547970e-12 4.017975150460122301e-17
5.967999999999999972e+01 6.340483474081903480e-12 3.621959305877348682e-17
5.984000000000000341e+01 6.296287421483904977e-12 3.191843805522088997e-17
6.000000000000000000e+01 6.247791313459285080e-12 2.727628651744521969e-17
6.015999999999999659e+01 6.194995150008345098e-12 2.229313842949468850e-17
6.032000000000000028e+01 6.158373869229467238e-12 1.787223739317032587e-17
6.047999999999999687e+01 6.125642508263258021e-12 1.347163725931628777e-17
6.064000000000000057e+01 6.096801067110177083e-12 9.091338002205052902e-18
6.079999999999999716e+01 6.071849545769800332e-12 4.731339654062864222e-18
6.096000000000000085e+01 6.063094924715004152e-12 1.610903496967895880e-18
6.111999999999999744e+01 6.063153015662390031e-12 -1.001527235019672206e-18
