t re(Psi4_2_0) im(Psi4_2_0)  
4.911999999999999744e+01 4.142545616558187107e-12 1.527946335696070651e-17
4.928000000000000114e+01 3.728345152660160332e-12 1.570825283028996960e-17
4.943999999999999773e+01 3.655661544890245127e-12 1.567341549353438150e-17
4.960000000000000142e+01 3.604832963167899264e-12 1.550661364208414653e-17
4.975999999999999801e+01 3.486873590348793183e-12 1.495136010360150936e-17
4.992000000000000171e+01 3.143404105422201287e-12 1.460343414949798464e-17
5.007999999999999829e+01 2.863863105081032491e-12 1.468694441802027344e-17
5.024000000000000199e+01 2.541579811702366915e-12 1.513125967894695752e-17
5.039999999999999858e+01 2.340278854428985859e-12 1.521809339615499450e-17
5.056000000000000227e+01 2.673930911356618914e-12 1.483292226158625990e-17
5.071999999999999886e+01 2.588536382339535732e-12 1.432375631938219573e-17
5.088000000000000256e+01 2.370878360279255482e-12 1.361685846390173092e-17
5.103999999999999915e+01 2.203732135419419387e-12 1.316193855236582076e-17
5.120000000000000284e+01 2.100252679827780668e-12 1.166868769923130605e-17
5.135999999999999943e+01 2.113222283420823699e-12 1.086412203623760361e-17
5.152000000000000313e+01 2.191418061409945649e-12 1.012055164527713861e-17
5.167999999999999972e+01 2.346267288632227604e-12 9.326535734082012884e-18
5.184000000000000341e+01 2.076355983494759118e-12 8.362525736422730973e-18
5.200000000000000000e+01 2.455455722878250706e-12 7.473764201388050994e-18
5.215999999999999659e+01 3.113597329419220956e-12 6.597682579247813314e-18
5.232000000000000028e+01 3.841673515193355141e-12 5.674295371167530049e-18
5.247999999999999687e+01 4.572985995439831638e-12 4.614254275154637803e-18
5.264000000000000057e+01 5.304220167472268171e-12 3.904491393525730906e-18
5.279999999999999716e+01 6.057407625019973481e-12 3.320791499482335445e-18
5.296000000000000085e+01 6.670005241065358312e-12 2.787555136800852864e-18
5.311999999999999744e+01 7.503987561166210868e-12 1.368043024564287305e-18
5.328000000000000114e+01 7.716183219267121153e-12 1.139331744928268295e-18
5.343999999999999773e+01 7.629435032107634846e-12 1.361245820398316318e-18
5.360000000000000142e+01 7.377217961830506324e-12 2.028439048475226213e-18
5.375999999999999801e+01 7.040375172255631194e-12 1.937957637068275404e-18
5.392000000000000171e+01 6.460605430520089710e-12 3.290298677152010279e-18
5.407999999999999829e+01 5.724842055982394799e-12 5.350203339085966305e-18
5.424000000000000199e+01 5.059881180046051259e-12 8.068642716191288104e-18
5.439999999999999858e+01 4.242328495226421163e-12 1.168360159094418077e-17
5.456000000000000227e+01 3.746404945784296526e-12 1.419090448334628255e-17
5.471999999999999886e+01 3.417264974314518461e-12 1.628012499309357388e-17
5.488000000000000256e+01 3.231202594154060248e-12 1.776685791974853251e-17
5.503999999999999915e+01 3.096022172359644748e-12 1.911322459946581880e-17
5.520000000000000284e+01 3.224981864778552323e-12 1.887355659178641448e-17
5.535999999999999943e+01 3.519635988187632902e-12 1.761025179704725095e-17
5.552000000000000313e+01 3.781264487275846727e-12 1.645865667278529545e-17
5.567999999999999972e+01 4.170189785567641772e-12 1.367656188995153575e-17
5.584000000000000341e+01 4.472064980351925483e-12 1.265494960774808598e-17
5.600000000000000000e+01 4.723496585163379828e-12 1.230507008765502532e-17
5.615999999999999659e+01 4.911971365746581415e-12 1.333690076533797309e-17
5.632000000000000028e+01 5.065873806251837001e-12 1.429697641511867155e-17
5.647999999999999687e+01 5.174960167188405678e-12 1.592752144219276792e-17
5.664000000000000057e+01 5.226195105386921736e-12 1.802907502393823427e-17
5.679999999999999716e+01 5.353115186765246484e-12 1.966503018787670837e-17
5.696000000000000085e+01 5.155819986665910460e-12 2.129356332912264587e-17
5.711999999999999744e+01 5.170823856551847796e-12 2.216492799874751694e-17
5.728000000000000114e+01 5.228658940800647190e-12 2.254135345808899076e-17
5.743999999999999773e+01 5.331237250637298474e-12 2.235138081784643138e-17
5.760000000000000142e+01 5.194450429139335971e-12 2.078428202462476843e-17
5.775999999999999801e+01 5.072943642231539414e-12 1.961857201561893703e-17
5.792000000000000171e+01 4.902330307552766398e-12 1.816712738561651907e-17
5.807999999999999829e+01 4.667234274001869003e-12 1.797757275814553695e-17
5.824000000000000199e+01 4.788573917522395815e-12 1.806121894787355571e-17
5.839999999999999858e+01 4.502406817607985862e-12 1.757828432375331955e-17
5.856000000000000227e+01 4.074072381317935629e-12 1.682654010899404347e-17
5.871999999999999886e+01 3.588772865010689353e-12 1.580868074076025196e-17
5.888000000000000256e+01 3.514349239624729957e-12 1.419952729850385694e-17
5.903999999999999915e+01 3.225247110138597022e-12 1.298488457326485569e-17
5.920000000000000284e+01 2.923235532506437285e-12 1.180156833702186355e-17
5.935999999999999943e+01 2.603742927097922331e-12 1.062333156159834126e-17
5.952000000000000313e+01 1.872817289193759882e-12 8.267833030548795033e-18
5.967999999999999972e+01 1.628516009195501030e-12 7.215052554742693133e-18
5.984000000000000341e+01 1.558089234016357367e-12 6.638681159364760246e-18
6.000000000000000000e+01 1.549929988628974746e-12 6.388053960473172978e-18
6.015999999999999659e+01 8.555398475797898101e-13 6.181849162522141039e-18
6.032000000000000028e+01 8.054425166131370020e-13 6.522818138733181161e-18
6.047999999999999687e+01 9.525799480928362820e-13 7.217175442042906240e-18
6.064000000000000057e+01 1.219646623973061155e-12 7.287699906488446917e-18
6.079999999999999716e+01 1.555021978732285070e-12 7.209479423065625347e-18
6.096000000000000085e+01 1.889849644010212993e-12 6.690955018287612013e-18
6.111999999999999744e+01 2.258283666405609235e-12 5.824150316228117999e-18
